Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
21126.002,823.0,846.0,834.5
21325.97,821.0,831.0,826.0
21527.533,824.0,820.0,822.0
21725.702,822.0,818.0,820.0
21925.652000000002,820.0,810.0,815.0
22125.662,815.0,804.0,809.5
22460.186,806.0,796.0,801.0
22658.881,786.0,797.0,791.5
22858.828999999998,786.0,787.0,786.5
23125.281000000003,767.0,773.0,770.0
23325.291,774.0,781.0,777.5
23526.405,770.0,773.0,771.5
23725.11,764.0,764.0,764.0
23924.993,743.0,746.0,744.5
24125.006,748.0,751.0,749.5
24324.953999999998,741.0,750.0,745.5
24658.196,734.0,735.0,734.5
24858.152000000002,723.0,719.0,721.0
25058.116,717.0,713.0,715.0
25257.998,712.0,712.0,712.0
25525.732999999997,699.0,706.0,702.5
25724.427000000003,690.0,705.0,697.5
25924.388,691.0,691.0,691.0
26124.338,686.0,681.0,683.5
26324.225,667.0,686.0,676.5
26526.078999999998,679.0,675.0,677.0
26724.292999999998,671.0,670.0,670.5
27057.646,658.0,650.0,654.0
27257.602000000003,656.0,642.0,649.0
27458.901,642.0,639.0,640.5
27757.932999999997,638.0,642.0,640.0
27924.116,626.0,631.0,628.5
28124.072999999997,620.0,629.0,624.5
28323.972,620.0,629.0,624.5
28525.342,607.0,607.0,607.0
28723.963,618.0,617.0,617.5
28923.925,602.0,606.0,604.0
29123.939,591.0,595.0,593.0
29458.619,592.0,593.0,592.5
29657.318,594.0,592.0,593.0
29857.212000000003,577.0,578.0,577.5
30123.742000000002,572.0,577.0,574.5
30323.762000000002,565.0,584.0,574.5
30525.087000000003,560.0,560.0,560.0
30723.76,562.0,558.0,560.0
30923.726000000002,548.0,542.0,545.0
31123.668999999998,540.0,548.0,544.0
31323.62,524.0,537.0,530.5
31657.055,519.0,530.0,524.5
31856.938,521.0,516.0,518.5
32056.902000000002,511.0,509.0,510.0
32256.842999999997,513.0,492.0,502.5
32524.81,490.0,502.0,496.0
32723.499,481.0,493.0,487.0
32923.446,485.0,482.0,483.5
33123.398,458.0,470.0,464.0
33323.3,463.0,466.0,464.5
33524.675,461.0,456.0,458.5
33723.303,445.0,455.0,450.0
34056.693,447.0,445.0,446.0
