,Latitude,Longitude,Turn Radius(m)
0,38.9303578,-95.6770314,26.26
1,38.9300093,-95.676098,21.85
2,38.9309007,-95.6747545,40.43
3,38.9301212,-95.6741034,29.28
4,38.9296713,-95.6724013,56.69
5,38.9266746,-95.671597,196.99
6,38.9253942,-95.6719569,92.93
7,38.9249289,-95.671104,23.24
8,38.9204482,-95.6706639,73.88
9,38.9195891,-95.6728838,22.08
10,38.9219949,-95.6727388,31.37
11,38.9212918,-95.674688,62.03
12,38.9189546,-95.6752807,88.51
13,38.9222133,-95.6770474,19.29
14,38.9224721,-95.6757438,38.34
15,38.9238349,-95.6756487,137.76
16,38.9259258,-95.6766045,182.36
